<<<<<<< HEAD
1028197710161 99000161
1027198210162 99000162
1009196410163 99000163
1008196510164 99000164
1006197010165 99000165
1022199110166 99000166
1017197210167 99000167
1007196010168 99000168
1017199710169 99000169
1023198710170 99000170
1016199710171 99000171
1016196710172 99000172
1003196610173 99000173
1001196410174 99000174
1023197110175 99000175
1027197810176 99000176
1003198810177 99000177
1019196710178 99000178
1020196810179 99000179
1002199610180 99000180
1014198410181 99000181
1011198610182 99000182
1013199410183 99000183
1027199710184 99000184
1014196710185 99000185
1014196110186 99000186
1028198910187 99000187
1008196110188 99000188
1016198510189 99000189
1017196210190 99000190
1000198210191 99000191
1004198610192 99000192
1013197410193 99000193
1018196810194 99000194
1015196010195 99000195
1014197110196 99000196
1016198610197 99000197
1022199610198 99000198
1029196110199 99000199
1006196710200 99000200
1015196210201 99000201
1022196610202 99000202
1018198910203 99000203
1016199610204 99000204
1022198710205 99000205
1023197610206 99000206
1001197910207 99000207
1008197010208 99000208
1020196810209 99000209
1022196510210 99000210
1022199610211 99000211
1027196910212 99000212
1005199310213 99000213
1017199610214 99000214
1029196410215 99000215
1009198710216 99000216
1003198910217 99000217
1005198210218 99000218
1019198610219 99000219
1001197410220 99000220
1003198010221 99000221
1018198810222 99000222
1029199010223 99000223
1020197310224 99000224
1018199010225 99000225
1008196510226 99000226
1025196410227 99000227
1014196310228 99000228
1021198310229 99000229
1005196110230 99000230
1017197410231 99000231
1025196410232 99000232
1012198410233 99000233
1014198410234 99000234
1025199610235 99000235
1008198910236 99000236
1007197910237 99000237
1012197910238 99000238
1012198410239 99000239
1016197510240 99000240
1005198110241 99000241
1009197510242 99000242
1029199210243 99000243
1025199610244 99000244
1023198810245 99000245
1018197010246 99000246
1023197310247 99000247
1025198010248 99000248
1008196210249 99000249
1004196310250 99000250
1018198410251 99000251
1017197410252 99000252
1011197810253 99000253
1000198810254 99000254
1011199410255 99000255
1007196110256 99000256
1019198810257 99000257
1020196410258 99000258
1002196210259 99000259
1024199410260 99000260
1009199210261 99000261
1018196410262 99000262
1000196510263 99000263
1018197610264 99000264
1028198310265 99000265
1009199110266 99000266
1008198010267 99000267
1029199510268 99000268
1013198710269 99000269
1002196710270 99000270
1020198110271 99000271
1024196810272 99000272
1006198210273 99000273
1004197410274 99000274
1011199110275 99000275
1012199710276 99000276
1011198910277 99000277
1007197910278 99000278
1013199610279 99000279
1018197610280 99000280
1027198910281 99000281
1028199610282 99000282
1001199010283 99000283
1010197110284 99000284
1014197510285 99000285
1025197110286 99000286
1009198910287 99000287
1026196410288 99000288
1008199710289 99000289
1007196110290 99000290
1011197410291 99000291
1004198510292 99000292
1005198810293 99000293
1027197310294 99000294
1015198210295 99000295
1026199710296 99000296
1005199010297 99000297
1007197910298 99000298
1003199710299 99000299
1028197710300 99000300
1023196510301 99000301
1003199410302 99000302
1029199710303 99000303
1026198110304 99000304
1029196710305 99000305
1003196410306 99000306
1015196610307 99000307
1021196610308 99000308
1029196710309 99000309
1027196810310 99000310
1012198410311 99000311
1006196310312 99000312
1004197410313 99000313
1016199510314 99000314
1016199310315 99000315
1028197310316 99000316
1028199010317 99000317
1005198910318 99000318
1018197110319 99000319
1022196510320 99000320
1013197910321 99000321
1002198910322 99000322
1029196710323 99000323
1016199210324 99000324
1004197610325 99000325
1009198810326 99000326
1023198110327 99000327
1012196610328 99000328
1021199110329 99000329
1005199410330 99000330
1025197510331 99000331
1022197610332 99000332
1015197610333 99000333
1003197510334 99000334
1003196710335 99000335
1012197710336 99000336
1000196910337 99000337
1025198610338 99000338
1014196910339 99000339
1011198910340 99000340
1026198910341 99000341
1027197310342 99000342
1019198710343 99000343
1015196210344 99000344
1012199710345 99000345
1013199210346 99000346
1019197310347 99000347
1005196610348 99000348
1004197410349 99000349
1020198110350 99000350
1002199010351 99000351
1019197110352 99000352
1009197310353 99000353
1018197710354 99000354
1016197310355 99000355
1022198010356 99000356
1021198410357 99000357
1013197610358 99000358
1015199710359 99000359
1025197310360 99000360
1010197410361 99000361
1003199310362 99000362
1006199310363 99000363
1014196210364 99000364
1026196110365 99000365
1028196510366 99000366
1019197010367 99000367
1003196610368 99000368
1019198110369 99000369
1018198310370 99000370
1022196210371 99000371
1003198410372 99000372
1018196910373 99000373
1025196510374 99000374
1003199510375 99000375
1005198510376 99000376
1008198710377 99000377
1015197310378 99000378
1010198210379 99000379
1017198810380 99000380
1025196110381 99000381
1014199510382 99000382
1019197810383 99000383
1001199410384 99000384
1005199310385 99000385
1016198810386 99000386
1018196410387 99000387
1003197810388 99000388
1000196310389 99000389
1003196110390 99000390
1025198310391 99000391
1020198410392 99000392
1025196210393 99000393
1007198110394 99000394
1027196610395 99000395
1004196610396 99000396
1018196210397 99000397
1008198010398 99000398
1029198210399 99000399
1018198410400 99000400
1010198310401 99000401
1028196210402 99000402
1016196210403 99000403
1017199410404 99000404
1001196510405 99000405
1006196310406 99000406
1002198010407 99000407
1004198110408 99000408
1003197410409 99000409
1016199110410 99000410
1013198510411 99000411
1013197610412 99000412
1003199010413 99000413
1022196510414 99000414
1025196710415 99000415
1019196510416 99000416
1009197410417 99000417
1017198810418 99000418
1021198410419 99000419
1006198810420 99000420
1011198410421 99000421
1018196210422 99000422
1002198610423 99000423
1015199110424 99000424
1009199110425 99000425
1012197310426 99000426
1002197810427 99000427
1015198210428 99000428
1024198410429 99000429
1017197410430 99000430
1003197910431 99000431
1029197610432 99000432
1019198610433 99000433
1003196810434 99000434
1027197410435 99000435
1016198410436 99000436
1012198810437 99000437
1017197510438 99000438
1024198410439 99000439
1027198710440 99000440
1026198210441 99000441
1027197210442 99000442
1022197810443 99000443
1003196610444 99000444
1015199110445 99000445
1012199110446 99000446
1001199410447 99000447
1023196910448 99000448
1024199310449 99000449
1009199510450 99000450
1008196610451 99000451
1016198710452 99000452
1026196410453 99000453
1018197010454 99000454
1020198210455 99000455
1005199510456 99000456
1006196510457 99000457
1023197110458 99000458
1004197810459 99000459
1002197610460 99000460
1008198710461 99000461
1022196010462 99000462
1000197910463 99000463
1019199710464 99000464
1011196110465 99000465
1003198110466 99000466
1021197510467 99000467
1007196810468 99000468
1023198410469 99000469
1016197110470 99000470
1012198810471 99000471
1026199710472 99000472
1021196310473 99000473
1017196510474 99000474
1010198710475 99000475
1008196410476 99000476
1019196410477 99000477
1027199510478 99000478
1028197410479 99000479
1011196610480 99000480
1005199210481 99000481
1021197210482 99000482
1023199110483 99000483
1026197110484 99000484
1002197710485 99000485
1014198610486 99000486
1009197710487 99000487
1012199710488 99000488
1026196410489 99000489
1021199010490 99000490
1020198010491 99000491
1005197210492 99000492
1002196610493 99000493
1012197410494 99000494
1023196310495 99000495
1008198010496 99000496
1018199510497 99000497
1028196710498 99000498
1010198810499 99000499
=======
1003199410000,46106533,
1015197510001,14357221,
1028198310002,27272430,
1028199710003,30151406,
1011197610004,21071580,
1010197010005,91132047,
1026199010006,24216331,
1008196110007,33412265,
1005196810008,41151837,
1008197910009,87478157,
1007197310010,55032806,
1002196610011,16463756,
1020199010012,21464621,
1000198110013,15845653,
1013199710014,38240316,
1005197010015,45403841,
1029196110016,62183450,
1028198710017,38834054,
1012198210018,31515414,
1017199210019,82217421,
1012196310020,28450575,
1012199410021,34166871,
1006196310022,34143762,
1017198310023,52105035,
1000199510024,58557806,
1014198510025,38645473,
1017197210026,56561507,
1019198010027,27004466,
1001196810028,56237076,
1028197710029,63264572,
1007196310030,37607674,
1027198710031,62623487,
1018197110032,18683256,
1029199510033,54862840,
1019198210034,97066307,
1026199010035,31046723,
1024196410036,91600588,
1016197910037,35151013,
1016198110038,71466724,
1008198110039,72201137,
1020198810040,67153786,
1016197410041,81633017,
1019199410042,26671353,
1005199110043,46437368,
1029197810044,90561413,
1007199410045,94303225,
1028199110046,14815862,
1004196410047,36648738,
1003197810048,80766132,
1002196610049,26815350,
1024199310050,50045183,
1027196310051,24306151,
1016197310052,71631101,
1006197610053,84533366,
1011196410054,64855416,
1017196310055,43227511,
1023198510056,17222663,
1002197810057,66305826,
1007197010058,80057858,
1010197010059,66248227,
1005196210060,73523854,
1020199610061,60434384,
1008199710062,12554180,
1015198010063,32546107,
1023196710064,96010536,
1027199410065,51278107,
1020197510066,43574805,
1024197910067,21250364,
1003196910068,86727611,
1029199110069,97351101,
1015197010070,13386378,
1000199510071,41588124,
1023196610072,44120422,
1009198910073,46041215,
1011196710074,13325484,
1004196110075,54264538,
1018199010076,15656585,
1017196610077,18052725,
1003199310078,83477850,
1017198610079,12714320,
1016196310080,30477661,
1023198810081,18632821,
1019198510082,21576286,
1003196210083,37544208,
1012197110084,46700423,
1010199010085,90844716,
1015198810086,61575381,
1001197310087,95831564,
1011199610088,24613831,
1011196610089,85652730,
1016196810090,16812076,
1003198610091,93515606,
1013196710092,20047380,
1024196110093,46577362,
1012198010094,80013600,
1027198510095,32732205,
1022198710096,52656842,
1024196010097,12481421,
1006196910098,83700653,
1015198110099,86880473,
1001197710100,47254382,
1000197210101,61234586,
1024198810102,34137127,
1026198910103,41681286,
1022198710104,98880410,
1024198610105,28404253,
1023196510106,92450286,
1029198410107,45148677,
1003198310108,36148021,
1027198210109,50711684,
1020199010110,25752441,
1010197310111,65850076,
1026196610112,93668731,
1003196610113,63415430,
1028198310114,11566443,
1011198110115,78156745,
1027198910116,83282152,
1010198110117,90575270,
1017199710118,30082158,
1011197310119,66852216,
1027196410120,72451248,
1029198810121,64030680,
1024198610122,97255081,
1016199710123,10844774,
1020196710124,95575313,
1023196010125,11374747,
1029197010126,61746214,
1011198610127,11612376,
1025196410128,94627068,
1029196010129,96377851,
1021199410130,44653762,
1020197210131,15464583,
1010197810132,88468438,
1017196810133,80205114,
1003197710134,94146344,
1003196110135,36120880,
1029198610136,37402033,
1017198310137,12412333,
1023198410138,56355366,
1013198910139,31034275,
1022199110140,35270538,
1016196910141,21727572,
1005197510142,61868761,
1024198210143,77080520,
1025197410144,57664153,
1009197610145,94344370,
1023197910146,22614565,
1013198510147,87166022,
1012196210148,53431111,
1026199610149,30854551,
1024199610150,28048077,
1012196310151,84120040,
1023196210152,52123072,
1016199510153,26105075,
1022197010154,23720487,
1007199710155,37408363,
1022199610156,88415141,
1027196810157,24626000,
1021196610158,22185226,
1009198010159,47135618,
1015198010160,54601257,
1007199110161,71672165,
1013197610162,38314841,
1026196610163,52168006,
1021197810164,72014632,
1024198510165,74201357,
1021199110166,46337775,
1020197610167,62157580,
1020196910168,14470101,
1023197510169,21238518,
1003197710170,80750004,
1029198610171,81281355,
1010196510172,72704588,
1029198710173,80633618,
1023196110174,18468454,
1015199310175,31122565,
1028197910176,75111338,
1005196910177,60600850,
1023197210178,31408215,
1028197910179,52780662,
1002197510180,76756747,
1012198510181,60265338,
1017196910182,33121788,
1007198110183,90655721,
1006198110184,51234503,
1016199710185,82464283,
1009197410186,64688814,
1001198710187,14012555,
1010196210188,47076743,
1010197110189,42451518,
1025198210190,95186711,
1021196310191,48288384,
1024198810192,37342774,
1008199410193,78886466,
1003196310194,98608306,
1028198610195,11560742,
1008196110196,97006250,
1006196910197,18642835,
1010198010198,96002508,
1019199110199,93812143,
1009198010200,40061770,
1029197210201,14541682,
1028196310202,67228516,
1000198610203,88730572,
1017198310204,88041055,
1007196710205,97224681,
1000198810206,16515452,
1016196710207,53867736,
1010196010208,96615738,
1026198310209,71557318,
1026198210210,18760451,
1008196210211,95810713,
1027197010212,56823441,
1003197810213,44772224,
1019199010214,77352815,
1005199310215,53335436,
1000196010216,64576161,
1010198110217,57022053,
1010198910218,46564746,
1012199710219,63811870,
1018197110220,95178266,
1026196010221,66722477,
1005199510222,10056311,
1023199410223,96647584,
1000197310224,64184700,
1025198910225,30515447,
1011196410226,85383354,
1023199510227,76375233,
1023199010228,48838387,
1015196010229,15785872,
1005198810230,68186577,
1015197410231,54348453,
1014198410232,26211245,
1012198610233,54221744,
1015199010234,93723600,
1014198810235,43837516,
1006196010236,41750638,
1007196210237,25644850,
1026197310238,57813004,
1006197610239,95571110,
1004196810240,93304360,
1013196810241,52742120,
1004198510242,98624670,
1008196110243,44128231,
1029199710244,20748581,
1011196310245,95175703,
1006199610246,38281324,
1009196410247,61062553,
1001197110248,32827573,
1008199110249,57878617,
1006199310250,46888750,
1013198510251,17628737,
1013196410252,36671088,
1008198510253,94724211,
1022197910254,78863674,
1027196910255,65316060,
1004199710256,43616606,
1017196410257,15027317,
1006197610258,62282726,
1000199710259,73506523,
1014198910260,80723623,
1019199510261,87286641,
1013199410262,67812331,
1025197310263,35706575,
1015197110264,15014724,
1007198810265,86754581,
1000198710266,90455565,
1023197910267,37715073,
1023199410268,53643163,
1025199410269,65247448,
1010199310270,28255545,
1007198810271,27140236,
1025196410272,73862406,
1001198510273,66815733,
1001197310274,76332226,
1000196910275,62741100,
1004198910276,82338367,
1008199510277,28305626,
1005197810278,83647781,
1004196310279,21883864,
1018196710280,88645070,
1000198110281,27105236,
1014198710282,84732330,
1009196310283,86207348,
1001197310284,90172218,
1019198310285,30136785,
1026197010286,34054332,
1012198210287,96536736,
1006199610288,44236862,
1012198010289,40133416,
1014198110290,13104333,
1011199110291,15133852,
1014197310292,20332353,
1014196310293,65007436,
1009198810294,88655110,
1014198010295,80450712,
1023199010296,66268560,
1024196010297,96480423,
1024196710298,93182760,
1014196010299,51636688,
1006197710300,57251501,
1009197310301,92661535,
1011196110302,17085700,
1019197210303,75606010,
1021196210304,25174420,
1012198010305,25784652,
1002197110306,67073632,
1027196910307,44152546,
1022196510308,30075162,
1021198210309,98830312,
1011199310310,60702152,
1000199710311,83023424,
1018199510312,27617307,
1008198210313,48031330,
1015196310314,34741248,
1017198710315,74823230,
1019197910316,50057102,
1006199610317,83117805,
1019197910318,44556846,
1017196510319,33342343,
1012196710320,76216244,
1018196810321,58636347,
1020198810322,65264434,
1029197910323,42307353,
1026198510324,36413003,
1029196710325,26133663,
1011197410326,81460167,
1029198710327,27388648,
1016196910328,91845723,
1014197010329,22040177,
1002196810330,72111881,
1020196210331,40165313,
1013199310332,66646122,
1019196710333,24682127,
1024198410334,98453377,
1010196310335,17838358,
1002198510336,78575044,
1011196910337,87131340,
1006196210338,63582030,
1029196610339,77483067,
1024199610340,71217142,
1009197310341,91872210,
1003196010342,10454252,
1011196010343,57838521,
1025198310344,57733284,
1007196610345,33238240,
1011197910346,58161058,
1028196310347,21518024,
1026196710348,45155632,
1026198110349,61238040,
1001197410350,87867881,
1028198710351,76271833,
1011198710352,87542745,
1003196610353,50078653,
1029197310354,91801433,
1004199510355,27874152,
1014197210356,33818834,
1025199610357,71585622,
1013197410358,44263568,
1017199710359,87300230,
1022196610360,17172011,
1017197710361,48570006,
1010197910362,17313587,
1022197510363,65567471,
1003197210364,81865585,
1028197810365,75623452,
1005196510366,52205684,
1020197110367,82755413,
1013198810368,80288415,
1022199510369,13768670,
1013197410370,33654883,
1025196710371,55116060,
1023197210372,17132618,
1027196210373,34625678,
1010199610374,97748681,
1021197610375,54115742,
1020196210376,46360336,
1023196110377,17240820,
1018198210378,27577168,
1008198810379,17237382,
1009199610380,86752518,
1029198510381,53048431,
1013198110382,10581552,
1028196910383,88307525,
1009199010384,45373318,
1003197510385,94000044,
1028199510386,22773664,
1000197510387,46618808,
1025199310388,82448188,
1013198810389,66208143,
1010196810390,32827737,
1027196910391,43036503,
1008198710392,48730516,
1019197410393,88565760,
1005197310394,80862487,
1008198710395,25566666,
1028199610396,57055117,
1027196110397,91735255,
1002196710398,56714347,
1004198510399,72323737,
1015196310400,43710284,
1021197810401,78522085,
1001198610402,52126282,
1014199510403,95723111,
1023197410404,92714054,
1012196610405,12648007,
1016197010406,14768510,
1015198210407,42606325,
1015197010408,16737413,
1004196310409,43526477,
1015196010410,74715624,
1005198010411,66620600,
1023197210412,12886364,
1003198610413,66228207,
1013199310414,38123265,
1002199010415,41388800,
1011199010416,20757718,
1004199510417,60826371,
1012198610418,91455345,
1023198310419,31802210,
1014198110420,21307885,
1028198310421,41782142,
1012196110422,54616372,
1006199410423,98717542,
1025196810424,75543188,
1010199010425,73052826,
1004196410426,45586580,
1027196410427,45085021,
1025196010428,94450622,
1029199610429,13616330,
1023199410430,62803677,
1025197910431,12352810,
1013196810432,20100003,
1008196410433,86730251,
1029197710434,27476128,
1012198810435,66046418,
1016199610436,91587222,
1007198310437,24830601,
1005199110438,17338543,
1022196710439,86838373,
1006198710440,87517256,
1020199510441,20587843,
1017198810442,36644501,
1015196310443,16245687,
1015197510444,34408082,
1027199010445,28084630,
1013197610446,13634086,
1011197210447,90517460,
1021198810448,64443175,
1009196910449,64033058,
1018198010450,31112225,
1019198810451,48741031,
1018196410452,40333063,
1015199010453,22202375,
1004198810454,11368764,
1012198010455,27130766,
1011199210456,44060458,
1010196710457,63584830,
1021197010458,33605538,
1002197610459,53171545,
1018198510460,48761134,
1018197510461,18168170,
1027197710462,26541015,
1000197110463,13523307,
1026198210464,82624085,
1006197710465,14305631,
1022197210466,61880875,
1017197010467,72448243,
1009197710468,83745706,
1002198610469,17734722,
1029199110470,24287177,
1026199710471,95557407,
1019199310472,73112208,
1021197510473,41846116,
1000199310474,34570162,
1029198610475,82110828,
1027199110476,26151644,
1029197510477,41062658,
1019196310478,28057011,
1004199210479,26465401,
1011199610480,91434888,
1022196410481,74014124,
1015199110482,88736311,
1020199210483,83126830,
1013197410484,48611814,
1010197710485,52275713,
1013199710486,42257732,
1023199310487,15180662,
1026197810488,31414668,
1024197710489,91728126,
1023197110490,26382377,
1017199610491,12860445,
1002199010492,13480651,
1027197510493,13414213,
1017198610494,13348734,
1002197410495,61733824,
1011196510496,84834775,
1010197510497,90111576,
1016196210498,53124276,
1023196110499,83832078,
>>>>>>> fc5b584fbfedb958f7ce9d4942347644bf6fc4dc
